"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/11/2025","2.280","2.470","2.570","2.080","1,07B","-6,56%"
"01/10/2025","2.440","2.110","2.520","2.050","1,97B","15,64%"
"01/09/2025","2.110","2.390","2.820","2.010","2,84B","-14,57%"
"01/08/2025","2.470","2.360","2.560","2.220","998,51M","4,66%"
"01/07/2025","2.360","2.030","2.670","1.975","1,42B","18,00%"
"01/06/2025","2.000","2.030","2.340","1.750","1,59B","-0,99%"
"01/05/2025","2.020","1.675","2.170","1.640","1,77B","20,96%"
"01/04/2025","1.670","1.290","1.795","1.040","2,26B","16,78%"
"01/03/2025","1.430","1.495","1.580","1.275","1,42B","2,14%"
"01/02/2025","1.400","1.565","1.875","1.400","2,08B","-10,54%"
"01/01/2025","1.565","1.645","1.730","1.330","1,06B","-3,10%"
"01/12/2024","1.615","1.840","2.030","1.550","674,31M","-12,23%"
"01/11/2024","1.840","2.410","2.410","1.830","676,50M","-23,97%"
"01/10/2024","2.420","2.630","2.780","2.340","831,89M","-11,03%"
"01/09/2024","2.720","2.360","2.750","2.220","1,07B","15,25%"
"01/08/2024","2.360","2.480","2.510","2.160","699,83M","-4,07%"
"01/07/2024","2.460","2.400","2.520","2.320","611,27M","3,36%"
"01/06/2024","2.380","2.700","2.770","2.270","553,68M","-11,85%"
"01/05/2024","2.700","2.630","2.970","2.500","990,66M","2,66%"
"01/04/2024","2.630","2.320","2.930","2.290","1,05B","15,35%"
"01/03/2024","2.280","2.230","2.450","2.220","937,54M","0,88%"
"01/02/2024","2.260","2.700","2.700","2.250","852,72M","-16,30%"
"01/01/2024","2.700","2.700","2.910","2.330","1,06B","0,00%"
"01/12/2023","2.700","2.510","2.830","2.260","1,10B","6,72%"
"01/11/2023","2.530","2.240","2.570","2.060","1,28B","13,45%"
"01/10/2023","2.230","2.880","2.890","2.230","999,69M","-22,57%"
"01/09/2023","2.880","3.410","3.490","2.860","619,39M","-14,79%"
"01/08/2023","3.380","3.520","3.580","3.130","572,26M","-3,70%"
"01/07/2023","3.510","3.110","3.520","3.070","541,91M","14,71%"
"01/06/2023","3.060","3.000","3.220","2.860","755,17M","2,00%"
"01/05/2023","3.000","3.880","3.970","2.850","1,36B","-23,86%"
"01/04/2023","3.940","4.200","4.320","3.900","575,41M","-5,97%"
"01/03/2023","4.190","4.540","4.670","3.770","1,91B","-7,71%"
"01/02/2023","4.540","4.760","4.830","4.260","1,01B","-3,81%"
"01/01/2023","4.720","4.120","4.950","4.090","815,63M","14,56%"
"01/12/2022","4.120","4.230","4.500","3.900","790,84M","-0,72%"
"01/11/2022","4.150","3.780","4.610","3.680","1,01B","10,08%"
"01/10/2022","3.770","3.910","4.080","3.530","619,18M","-4,31%"
"01/09/2022","3.940","4.280","4.450","3.800","1,38B","-7,94%"
"01/08/2022","4.280","4.140","4.540","3.930","1,31B","5,42%"
"01/07/2022","4.060","4.110","4.190","3.350","1,19B","1,75%"
"01/06/2022","3.990","5.425","5.425","3.940","2,54B","-26,79%"
"01/05/2022","5.450","5.150","5.450","4.280","1,35B","2,83%"
"01/04/2022","5.300","4.410","5.800","4.371","1,21B","19,92%"
"01/03/2022","4.419","3.776","4.771","3.717","1,90B","17,05%"
"01/02/2022","3.776","3.571","3.834","3.424","1,16B","6,32%"
"01/01/2022","3.551","3.795","4.039","3.522","1,25B","-6,43%"
"01/12/2021","3.795","3.571","3.902","3.473","1,59B","6,28%"
"01/11/2021","3.571","3.083","3.805","2.966","1,67B","15,82%"
"01/10/2021","3.083","2.459","3.366","2.361","1,68B","25,40%"
"01/09/2021","2.459","2.751","2.839","2.400","1,13B","-10,64%"
"01/08/2021","2.751","2.888","2.927","2.478","1,05B","-4,73%"
"01/07/2021","2.888","2.868","3.161","2.741","1,03B","0,68%"
"01/06/2021","2.868","2.634","3.073","2.517","2,04B","8,89%"
"01/05/2021","2.634","2.507","2.732","2.341","1,56B","3,05%"
"01/04/2021","2.556","2.107","2.556","2.039","1,61B","21,86%"
"01/03/2021","2.098","2.761","2.800","2.078","1,38B","-24,03%"
"01/02/2021","2.761","2.517","2.927","2.341","2,21B","10,98%"
"01/01/2021","2.488","2.478","2.780","2.205","1,23B","4,94%"
"01/12/2020","2.371","1.907","2.829","1.790","1,54B","25,26%"
"01/11/2020","1.893","1.751","1.961","1.732","3,41B","6,01%"
"01/10/2020","1.785","1.610","1.854","1.561","1,66B","13,31%"
"01/09/2020","1.576","1.698","1.785","1.468","2,36B","-7,18%"
"01/08/2020","1.698","1.785","2.068","1.634","2,53B","-2,79%"
"01/07/2020","1.746","1.341","1.917","1.317","2,47B","31,14%"
"01/06/2020","1.332","1.293","1.376","1.205","1,24B","5,00%"
"01/05/2020","1.268","1.200","1.366","1.127","912,39M","5,69%"
"01/04/2020","1.200","990","1.307","946","1,81B","21,18%"
"01/03/2020","990","1.273","1.293","868","3,01B","-22,22%"
"01/02/2020","1.273","1.141","1.351","1.122","1,38B","11,54%"
"01/01/2020","1.141","1.049","1.220","1.044","1,66B","9,35%"
"01/12/2019","1.044","1.063","1.156","1.000","943,28M","-1,38%"